correct_word,prefix_2,prefix_3,prefix_4,prefix_5,prefix_6,prefix_7,morpheme_breakdown,common_typos,typo_patterns,correction_rules,phonetic_rules,error_categories
अनन्त,अन,अनन्,अनन्त,अनन्त,अनन्त,अनन्त,अ+न+न्+त,"[""अनंत"",""अनन्त्"",""अनंत"",""अनान्त"",""अनन्त"",""अनंन्त"",""अननत""]","[""न→ं"",""add_halant"",""anusvara"",""add_vowel"",""consonant_swap"",""double_nasal""]","[""matra_confusion"",""voicing_error""]","[""n→ŋ"",""t̪→t̪"",""a→aː""]","[""nasal_substitution"",""consonant_voicing"",""vowel_insertion""]"
अनुज,अन,अनु,अनुज,अनुज,अनुज,अनुज,अ+न+उ+ज,"[""अनुज्"",""अनूज"",""अणुज"",""अनुझ"",""अनुजह"",""अनुजाह"",""अणूज""]","[""add_halant"",""उ→ऊ"",""न→ण"",""ज→झ"",""add_consonant"",""double_substitution""]","[""halant_addition"",""vowel_error""]","[""n→ɳ"",""u→uː"",""dʒ→dʒʱ""]","[""retroflex_substitution"",""vowel_length"",""double_errors""]"
अपार,अप,अपा,अपार,अपार,अपार,अपार,अ+प+आ+र,"[""अपार्"",""अपार"",""अपार"",""अपारा"",""अफार"",""अपहार"",""अपारह""]","[""add_halant"",""vowel_addition"",""consonant_swap"",""insert_consonant"",""suffix_addition"",""aspiration_error""]","[""vowel_length"",""consonant_cluster""]","[""p→pʰ"",""ɾ→ɦ"",""a→aː""]","[""consonant_aspiration"",""epenthesis"",""suffix_errors""]"
अपूर्व,अप,अपू,अपूर्,अपूर्व,अपूर्व,अपूर्व,अ+प+ऊ+र्+व,"[""अपूर्व्"",""अपुर्व"",""अप्रूर्व"",""अपूर्व"",""अपूरव"",""अपूर्वा"",""अफूर्व""]","[""add_halant"",""ऊ→उ"",""syllable_break"",""व→वा"",""प→फ"",""consonant_cluster""]","[""matra_confusion"",""aspiration_error""]","[""uː→u"",""p→pʰ"",""ʋ→ʋa""]","[""vowel_shortening"",""aspiration_error"",""consonant_break""]"
अभय,अभ,अभय,अभय,अभय,अभय,अभय,अ+भ+य,"[""अभय्"",""अभै"",""अभय"",""अभाय"",""अभहय"",""अभयह"",""अफय""]","[""add_halant"",""य→ै"",""add_vowel"",""insert_consonant"",""suffix_addition"",""aspiration_loss""]","[""halant_error"",""vowel_insertion""]","[""bʱ→pʰ"",""j→ɛ"",""a→aː""]","[""aspiration_loss"",""matra_substitution"",""vowel_insertion""]"
अमर,अम,अमर,अमर,अमर,अमर,अमर,अ+म+र,"[""अमर्"",""अमर"",""अमार"",""अमहर"",""अमरह"",""अमरा"",""अम्र""]","[""add_halant"",""add_vowel"",""insert_consonant"",""suffix_addition"",""consonant_cluster"",""vowel_elongation""]","[""halant_error"",""gender_confusion""]","[""m→m"",""ɾ→ɦ"",""a→aː""]","[""consonant_insertion"",""epenthesis"",""vowel_elongation""]"
अमल,अम,अमल,अमल,अमल,अमल,अमल,अ+म+ल,"[""अमल्"",""अमल"",""अमाल"",""अमहल"",""अमलह"",""अमला"",""अम्ल""]","[""add_halant"",""add_vowel"",""insert_consonant"",""suffix_addition"",""consonant_cluster"",""gender_change""]","[""vowel_length"",""consonant_insertion""]","[""m→m"",""l→ɦ"",""a→aː""]","[""consonant_insertion"",""epenthesis"",""gender_errors""]"
अरुण,अर,अरु,अरुण,अरुण,अरुण,अरुण,अ+र+उ+ण,"[""अरुण्"",""अरून"",""अरुण"",""अरहुण"",""अरुणह"",""अरूण"",""अरुं""]","[""add_halant"",""उ→ऊ"",""insert_consonant"",""suffix_addition"",""vowel_length"",""anusvara""]","[""consonant_cluster"",""retroflex_error""]","[""u→uː"",""ɾ→ɦ"",""ɳ→ŋ""]","[""vowel_duration"",""epenthesis"",""nasal_substitution""]"
अर्पण,अर,अर्,अर्प,अर्पण,अर्पण,अर्पण,अ+र्+प+ण,"[""अर्पण्"",""अर्पन"",""अर्पण"",""अरपण"",""अर्पाण"",""अर्पणह"",""अर्पं""]","[""add_halant"",""ण→न"",""consonant_cluster"",""add_vowel"",""suffix_addition"",""anusvara""]","[""halant_error"",""gender_confusion""]","[""ɳ→n"",""p→p"",""a→aː""]","[""retroflex_loss"",""consonant_break"",""vowel_insertion""]"
असल,अस,असल,असल,असल,असल,असल,अ+स+ल,"[""असल्"",""असल"",""असाल"",""असहल"",""असलह"",""असला"",""अस्ल""]","[""add_halant"",""add_vowel"",""insert_consonant"",""suffix_addition"",""consonant_cluster"",""gender_change""]","[""halant_error"",""vowel_addition""]","[""s→s"",""l→ɦ"",""a→aː""]","[""consonant_insertion"",""epenthesis"",""gender_errors""]"
आकार,आक,आका,आकार,आकार,आकार,आकार,आ+क+आ+र,"[""आकार्"",""आकर"",""आकारा"",""आकार"",""आकाहर"",""आकारह"",""आकाल""]","[""add_halant"",""र→र"",""add_vowel"",""consonant_swap"",""insert_consonant"",""suffix_addition""]","[""halant_error"",""consonant_confusion""]","[""a→aː"",""k→k"",""ɾ→ɦ""]","[""vowel_elongation"",""consonant_insertion"",""suffix_errors""]"
आकाश,आक,आका,आकाश,आकाश,आकाश,आकाश,आ+क+आ+श,"[""आकाश्"",""आकास"",""आकाशा"",""आकाश"",""आकाहश"",""आकाशह"",""आकाष""]","[""add_halant"",""श→स"",""add_vowel"",""consonant_swap"",""insert_consonant"",""श→ष""]","[""nasal_confusion"",""halant_error""]","[""ʃ→s"",""ʃ→ʂ"",""a→aː""]","[""sibilant_confusion"",""vowel_insertion"",""halant_errors""]"
आँगन,आ,आँ,आँग,आँगन,आँगन,आँगन,आ+ँ+ग+न,"[""आंगन"",""आंगन्"",""आंगान"",""आंगन"",""आंगहन"",""आंगनह"",""आंगण""]","[""ँ→ं"",""add_halant"",""add_vowel"",""insert_consonant"",""suffix_addition"",""न→ण""]","[""nasal_confusion"",""halant_error""]","[""ŋ→ŋ"",""ɡ→ɡ"",""n→ɳ""]","[""nasal_substitution"",""consonant_insertion"",""retroflex_error""]"
आँचल,आ,आँ,आँच,आँचल,आँचल,आँचल,आ+ँ+च+ल,"[""आंचल"",""आंचल्"",""आंचाल"",""आंचल"",""आंचहल"",""आंचलह"",""आंच्ल""]","[""ँ→ं"",""add_halant"",""add_vowel"",""insert_consonant"",""suffix_addition"",""consonant_cluster""]","[""halant_error"",""vowel_insertion""]","[""ŋ→ŋ"",""tʃ→tʃ"",""l→ɦ""]","[""nasal_substitution"",""consonant_insertion"",""cluster_errors""]"
आदर,आद,आदर,आदर,आदर,आदर,आदर,आ+द+र,"[""आदर्"",""आदर"",""आदार"",""आदहर"",""आदरह"",""आदरा"",""आद्र""]","[""add_halant"",""add_vowel"",""insert_consonant"",""suffix_addition"",""consonant_cluster"",""vowel_elongation""]","[""halant_error"",""sibilant_confusion""]","[""d→d"",""ɾ→ɦ"",""a→aː""]","[""consonant_insertion"",""epenthesis"",""vowel_elongation""]"
आदर्श,आद,आदर्,आदर्श,आदर्श,आदर्श,आदर्श,आ+द+र्+श,"[""आदर्श्"",""आदर्ष"",""आदरश"",""आदर्श"",""आदहर्श"",""आदर्शह"",""आद्रश""]","[""add_halant"",""श→ष"",""consonant_cluster"",""insert_consonant"",""suffix_addition"",""cluster_break""]","[""halant_error"",""vowel_addition""]","[""ʃ→ʂ"",""d→d"",""ɾ→ɦ""]","[""sibilant_confusion"",""consonant_insertion"",""cluster_errors""]"
आधार,आध,आधा,आधार,आधार,आधार,आधार,आ+ध+आ+र,"[""आधार्"",""आधर"",""आधारा"",""आधार"",""आधाहर"",""आधारह"",""आधाल""]","[""add_halant"",""र→र"",""add_vowel"",""consonant_swap"",""insert_consonant"",""suffix_addition""]","[""halant_error"",""vowel_length""]","[""dʱ→dʱ"",""ɾ→ɦ"",""a→aː""]","[""consonant_insertion"",""epenthesis"",""vowel_elongation""]"
आमूल,आमू,आमूल,आमूल,आमूल,आमूल,आमूल,आ+म+ऊ+ल,"[""आमूल्"",""आमुल"",""आमूला"",""आमूल"",""आमहूल"",""आमूलह"",""आमूल""]","[""add_halant"",""ऊ→उ"",""add_vowel"",""insert_consonant"",""suffix_addition"",""vowel_shortening""]","[""halant_error"",""vowel_addition""]","[""uː→u"",""m→m"",""l→ɦ""]","[""vowel_shortening"",""consonant_insertion"",""epenthesis""]"
आयाम,आय,आया,आयाम,आयाम,आयाम,आयाम,आ+य+आ+म,"[""आयाम्"",""आयाम"",""आयामा"",""आयाम"",""आयाहम"",""आयामह"",""आयाम""]","[""add_halant"",""add_vowel"",""insert_consonant"",""suffix_addition"",""consonant_swap"",""vowel_repeat""]","[""halant_error"",""retroflex_error""]","[""j→j"",""a→aː"",""m→m""]","[""consonant_insertion"",""epenthesis"",""vowel_repetition""]"
आर्जन,आर्,आर्ज,आर्जन,आर्जन,आर्जन,आर्जन,आ+र्+ज+न,"[""आर्जन्"",""आर्जन"",""आर्जान"",""आर्जन"",""आर्हजन"",""आर्जनह"",""आर्जण""]","[""add_halant"",""add_vowel"",""insert_consonant"",""suffix_addition"",""न→ण"",""consonant_cluster""]","[""halant_error"",""vowel_addition""]","[""dʒ→dʒ"",""n→ɳ"",""ɾ→ɦ""]","[""retroflex_substitution"",""consonant_insertion"",""cluster_errors""]"
आलोक,आल,आलो,आलोक,आलोक,आलोक,आलोक,आ+ल+ओ+क,"[""आलोक्"",""आलोक"",""आलोका"",""आलोक"",""आलोहक"",""आलोकह"",""आलोक""]","[""add_halant"",""add_vowel"",""insert_consonant"",""suffix_addition"",""consonant_swap"",""vowel_repeat""]","[""halant_error"",""vowel_addition""]","[""l→l"",""o→o"",""k→k""]","[""consonant_insertion"",""epenthesis"",""vowel_repetition""]"
आवास,आव,आवा,आवास,आवास,आवास,आवास,आ+व+आ+स,"[""आवास्"",""आवास"",""आवासा"",""आवास"",""आवाहस"",""आवासह"",""आवास""]","[""add_halant"",""add_vowel"",""insert_consonant"",""suffix_addition"",""consonant_swap"",""vowel_repeat""]","[""halant_error"",""sibilant_confusion""]","[""ʋ→ʋ"",""a→aː"",""s→s""]","[""consonant_insertion"",""epenthesis"",""vowel_repetition""]"
आशा,आश,आशा,आशा,आशा,आशा,आशा,आ+श+आ,"[""आशा्"",""आशा"",""आशाह"",""आशा"",""आशा"",""आशाह"",""आषा""]","[""add_halant"",""add_consonant"",""suffix_addition"",""consonant_swap"",""श→ष"",""vowel_repeat""]","[""halant_error"",""retroflex_error""]","[""ʃ→ʂ"",""a→aː"",""ʃ→ʃ""]","[""sibilant_confusion"",""consonant_insertion"",""vowel_repetition""]"
आसन,आस,आसन,आसन,आसन,आसन,आसन,आ+स+न,"[""आसन्"",""आसन"",""आसान"",""आसन"",""आसहन"",""आसनह"",""आसण""]","[""add_halant"",""add_vowel"",""insert_consonant"",""suffix_addition"",""न→ण"",""vowel_elongation""]","[""halant_error"",""consonant_cluster""]","[""s→s"",""n→ɳ"",""a→aː""]","[""retroflex_substitution"",""consonant_insertion"",""vowel_elongation""]"
आस्था,आस्,आस्थ,आस्था,आस्था,आस्था,आस्था,आ+स्+थ+आ,"[""आस्था्"",""आस्था"",""आस्थाह"",""आस्था"",""आस्था"",""आस्थाह"",""आस्था""]","[""add_halant"",""add_consonant"",""suffix_addition"",""consonant_cluster"",""cluster_break"",""vowel_repeat""]","[""halant_error"",""vowel_length""]","[""s→s"",""t̪ʰ→t̪ʰ"",""a→aː""]","[""cluster_errors"",""consonant_insertion"",""vowel_repetition""]"
इनाम,इन,इना,इनाम,इनाम,इनाम,इनाम,इ+न+आ+म,"[""इनाम्"",""इनाम"",""इनामा"",""इनाम"",""इनाहम"",""इनामह"",""ईनाम""]","[""add_halant"",""add_vowel"",""insert_consonant"",""suffix_addition"",""इ→ई"",""vowel_length""]","[""consonant_cluster"",""halant_error""]","[""i→iː"",""n→n"",""a→aː""]","[""vowel_length_errors"",""consonant_insertion"",""epenthesis""]"
उत्तम,उत्त,उत्तम,उत्तम,उत्तम,उत्तम,उत्तम,उ+त्+त+म,"[""उत्तम्"",""उतम"",""उत्ताम"",""उत्तम"",""उतह्तम"",""उत्तमह"",""उत्तम""]","[""add_halant"",""consonant_drop"",""add_vowel"",""insert_consonant"",""suffix_addition"",""cluster_break""]","[""halant_error"",""vowel_addition""]","[""t→t"",""t→t"",""m→m""]","[""cluster_errors"",""consonant_deletion"",""epenthesis""]"
उदय,उद,उदय,उदय,उदय,उदय,उदय,उ+द+य,"[""उदय्"",""उदय"",""उदाय"",""उदय"",""उदहय"",""उदयह"",""उदय""]","[""add_halant"",""add_vowel"",""insert_consonant"",""suffix_addition"",""consonant_swap"",""vowel_elongation""]","[""halant_error"",""vowel_addition""]","[""d→d"",""j→j"",""u→u""]","[""consonant_insertion"",""epenthesis"",""vowel_elongation""]"
उदार,उद,उदा,उदार,उदार,उदार,उदार,उ+द+आ+र,"[""उदार्"",""उदार"",""उदारा"",""उदार"",""उदाहर"",""उदारह"",""उदाल""]","[""add_halant"",""add_vowel"",""insert_consonant"",""suffix_addition"",""consonant_swap"",""vowel_repeat""]","[""vowel_confusion"",""retroflex_error""]","[""d→d"",""a→aː"",""ɾ→ɦ""]","[""consonant_insertion"",""epenthesis"",""vowel_repetition""]"
उन्नति,उन्,उन्न,उन्नत,उन्नति,उन्नति,उन्नति,उ+न्+न+त+इ,"[""उन्नती"",""उन्नति्"",""उन्नाति"",""उन्नति"",""उन्नहति"",""उन्नतिह"",""उन्नटि""]","[""इ→ई"",""add_halant"",""add_vowel"",""insert_consonant"",""suffix_addition"",""त→ट""]","[""nasal_confusion"",""halant_error""]","[""i→iː"",""n→n"",""t̪→ʈ""]","[""vowel_length_errors"",""retroflex_substitution"",""epenthesis""]"
उमङ्ग,उम,उमङ,उमङ्ग,उमङ्ग,उमङ्ग,उमङ्ग,उ+म+ङ+ग,"[""उमंग"",""उमङ्ग्"",""उमांग"",""उमङ्ग"",""उमहङ्ग"",""उमङ्गह"",""उमंग""]","[""ङ→ं"",""add_halant"",""add_vowel"",""insert_consonant"",""suffix_addition"",""nasal_confusion""]","[""halant_error"",""sibilant_confusion""]","[""ŋ→ŋ"",""ŋ→ŋ"",""ɡ→ɡ""]","[""nasal_substitution"",""consonant_insertion"",""epenthesis""]"
उषा,उष,उषा,उषा,उषा,उषा,उषा,उ+ष+आ,"[""उषा्"",""उषा"",""उषाह"",""उषा"",""उषा"",""उषाह"",""उसा""]","[""add_halant"",""add_consonant"",""suffix_addition"",""consonant_swap"",""ष→स"",""vowel_repeat""]","[""halant_error"",""voicing_confusion""]","[""ʂ→s"",""a→aː"",""ʂ→ʂ""]","[""sibilant_confusion"",""consonant_insertion"",""vowel_repetition""]"
ऊर्जा,ऊर्ज,ऊर्जा,ऊर्जा,ऊर्जा,ऊर्जा,ऊर्जा,ऊ+र्+ज+आ,"[""ऊर्जा्"",""ऊर्जा"",""ऊर्जाह"",""ऊर्जा"",""ऊर्जा"",""ऊर्जाह"",""ऊर्झा""]","[""add_halant"",""add_consonant"",""suffix_addition"",""consonant_swap"",""ज→झ"",""vowel_repeat""]","[""halant_error"",""retroflex_error""]","[""dʒ→dʒʱ"",""a→aː"",""ɾ→ɾ""]","[""voicing_errors"",""consonant_insertion"",""vowel_repetition""]"
एकता,एक,एकता,एकता,एकता,एकता,एकता,ए+क+त+आ,"[""एकता्"",""एकता"",""एकताह"",""एकता"",""एकता"",""एकताह"",""एकटा""]","[""add_halant"",""add_consonant"",""suffix_addition"",""consonant_swap"",""त→ट"",""vowel_repeat""]","[""anusvara_confusion"",""halant_error""]","[""t̪→ʈ"",""a→aː"",""k→k""]","[""retroflex_substitution"",""consonant_insertion"",""vowel_repetition""]"
कण्ठ,कण्,कण्ठ,कण्ठ,कण्ठ,कण्ठ,कण्ठ,क+ण्+ठ,"[""कंठ"",""कण्ठ्"",""कणाठ"",""कण्ठ"",""कणहठ"",""कण्ठह"",""कण्ठ""]","[""ण→ं"",""add_halant"",""add_vowel"",""insert_consonant"",""suffix_addition"",""anusvara""]","[""halant_error"",""vowel_addition""]","[""ɳ→ŋ"",""ʈʰ→ʈʰ"",""ɳ→ɳ""]","[""nasal_substitution"",""consonant_insertion"",""anusvara_errors""]"
कदम,कद,कदम,कदम,कदम,कदम,कदम,क+द+म,"[""कदम्"",""कदम"",""कदाम"",""कदम"",""कदहम"",""कदमह"",""कदम""]","[""add_halant"",""add_vowel"",""insert_consonant"",""suffix_addition"",""consonant_swap"",""vowel_elongation""]","[""halant_error"",""vowel_insertion""]","[""d→d"",""m→m"",""k→k""]","[""consonant_insertion"",""epenthesis"",""vowel_elongation""]"
कदर,कद,कदर,कदर,कदर,कदर,कदर,क+द+र,"[""कदर्"",""कदर"",""कदार"",""कदर"",""कदहर"",""कदरह"",""कद्र""]","[""add_halant"",""add_vowel"",""insert_consonant"",""suffix_addition"",""consonant_cluster"",""vowel_elongation""]","[""halant_error"",""vowel_length""]","[""d→d"",""ɾ→ɦ"",""a→aː""]","[""consonant_insertion"",""epenthesis"",""vowel_elongation""]"
कपिल,कप,कपि,कपिल,कपिल,कपिल,कपिल,क+प+इ+ल,"[""कपिल्"",""कपील"",""कपिल"",""कपहिल"",""कपिलह"",""कपीळ"",""कपिल""]","[""add_halant"",""इ→ई"",""insert_consonant"",""suffix_addition"",""ल→ळ"",""vowel_length""]","[""halant_error"",""vowel_length""]","[""i→iː"",""p→p"",""l→ɭ""]","[""vowel_length_errors"",""lateral_confusion"",""epenthesis""]"
कपुर,कप,कपु,कपुर,कपुर,कपुर,कपुर,क+प+उ+र,"[""कपुर्"",""कपूर"",""कपुर"",""कपहुर"",""कपुरह"",""कपूर"",""कपुर""]","[""add_halant"",""उ→ऊ"",""insert_consonant"",""suffix_addition"",""vowel_length"",""consonant_swap""]","[""halant_error"",""vowel_insertion""]","[""u→uː"",""p→p"",""ɾ→ɦ""]","[""vowel_length_errors"",""consonant_insertion"",""epenthesis""]"
कमल,कम,कमल,कमल,कमल,कमल,कमल,क+म+ल,"[""कमल्"",""कमल"",""कमाल"",""कमल"",""कमहल"",""कमलह"",""कम्ल""]","[""add_halant"",""add_vowel"",""insert_consonant"",""suffix_addition"",""consonant_cluster"",""vowel_elongation""]","[""halant_error"",""consonant_insertion""]","[""m→m"",""l→ɦ"",""a→aː""]","[""consonant_insertion"",""epenthesis"",""vowel_elongation""]"
करुणा,करु,करुण,करुणा,करुणा,करुणा,करुणा,क+र+उ+ण+आ,"[""करुणा्"",""करुणा"",""करुणाह"",""करुणा"",""करुहणा"",""करुणाह"",""करुणा""]","[""add_halant"",""add_consonant"",""suffix_addition"",""insert_consonant"",""consonant_swap"",""vowel_repeat""]","[""halant_error"",""vowel_insertion""]","[""ɳ→ɳ"",""a→aː"",""ɾ→ɦ""]","[""consonant_insertion"",""epenthesis"",""vowel_repetition""]"
कलम,कल,कलम,कलम,कलम,कलम,कलम,क+ल+म,"[""कलम्"",""कलम"",""कलाम"",""कलम"",""कलहम"",""कलमह"",""कल्म""]","[""add_halant"",""add_vowel"",""insert_consonant"",""suffix_addition"",""consonant_cluster"",""vowel_elongation""]","[""halant_error"",""lateral_confusion""]","[""l→l"",""m→m"",""a→aː""]","[""consonant_insertion"",""epenthesis"",""vowel_elongation""]"
कला,कल,कला,कला,कला,कला,कला,क+ल+आ,"[""कला्"",""कला"",""कलाह"",""कला"",""कला"",""कलाह"",""कळा""]","[""add_halant"",""add_consonant"",""suffix_addition"",""consonant_swap"",""ल→ळ"",""vowel_repeat""]","[""halant_error"",""vowel_insertion""]","[""l→ɭ"",""a→aː"",""k→k""]","[""lateral_confusion"",""consonant_insertion"",""vowel_repetition""]"
कवच,कव,कवच,कवच,कवच,कवच,कवच,क+व+च,"[""कवच्"",""कवच"",""कवाच"",""कवच"",""कवहच"",""कवचह"",""कव्च""]","[""add_halant"",""add_vowel"",""insert_consonant"",""suffix_addition"",""consonant_cluster"",""vowel_elongation""]","[""halant_error"",""vowel_length""]","[""ʋ→ʋ"",""tʃ→tʃ"",""a→aː""]","[""consonant_insertion"",""epenthesis"",""vowel_elongation""]"
कवि,कव,कवि,कवि,कवि,कवि,कवि,क+व+इ,"[""कवि्"",""कवी"",""कवि"",""कवहि"",""कविह"",""कवी"",""कवि""]","[""add_halant"",""इ→ई"",""insert_consonant"",""suffix_addition"",""vowel_length"",""consonant_swap""]","[""halant_error"",""vowel_length""]","[""i→iː"",""ʋ→ʋ"",""k→k""]","[""vowel_length_errors"",""consonant_insertion"",""epenthesis""]"
कविता,कव,कवि,कवित,कविता,कविता,कविता,क+व+इ+त+आ,"[""कविता्"",""कविता"",""कविताह"",""कविता"",""कविहता"",""कविताह"",""कवीता""]","[""add_halant"",""add_consonant"",""suffix_addition"",""insert_consonant"",""इ→ई"",""vowel_repeat""]","[""halant_error"",""retroflex_error""]","[""i→iː"",""t̪→t̪"",""a→aː""]","[""vowel_length_errors"",""consonant_insertion"",""vowel_repetition""]"
कामना,का,काम,कामन,कामना,कामना,कामना,क+आ+म+न+आ,"[""कामना्"",""कामना"",""कामनाह"",""कामना"",""कामहना"",""कामनाह"",""कामणा""]","[""add_halant"",""add_consonant"",""suffix_addition"",""insert_consonant"",""न→ण"",""vowel_repeat""]","[""halant_error"",""consonant_cluster""]","[""a→aː"",""m→m"",""n→ɳ""]","[""retroflex_substitution"",""consonant_insertion"",""vowel_repetition""]"
काव्य,का,काव्,काव्य,काव्य,काव्य,काव्य,क+आ+व्+य,"[""काव्य्"",""काव्य"",""काव्य"",""काव्य"",""काव्ह्य"",""काव्यह"",""काव्य""]","[""add_halant"",""add_consonant"",""suffix_addition"",""insert_consonant"",""consonant_cluster"",""vowel_repeat""]","[""halant_error"",""vowel_length""]","[""a→aː"",""ʋ→ʋ"",""j→j""]","[""cluster_errors"",""consonant_insertion"",""vowel_repetition""]"
किनारा,कि,किन,किना,किनार,किनारा,किनारा,क+इ+न+आ+र+आ,"[""किनारा्"",""किनारा"",""किनाराह"",""किनारा"",""किनाहरा"",""किनाराह"",""कीनारा""]","[""add_halant"",""add_consonant"",""suffix_addition"",""insert_consonant"",""इ→ई"",""vowel_repeat""]","[""halant_error"",""vowel_length""]","[""i→iː"",""n→n"",""a→aː""]","[""vowel_length_errors"",""consonant_insertion"",""vowel_repetition""]"
किरण,कि,किर,किरण,किरण,किरण,किरण,क+इ+र+ण,"[""किरण्"",""किरण"",""किराण"",""किरण"",""किरहण"",""किरणह"",""कीरण""]","[""add_halant"",""add_vowel"",""insert_consonant"",""suffix_addition"",""इ→ई"",""vowel_length""]","[""halant_error"",""consonant_cluster""]","[""i→iː"",""ɾ→ɾ"",""ɳ→ɳ""]","[""vowel_length_errors"",""consonant_insertion"",""epenthesis""]"
